	Cultivation of paddy rice	Cultivation of wheat	Cultivation of cereal grains nec	Cultivation of vegetables, fruit, nuts	Cultivation of oil seeds	Cultivation of sugar cane, sugar beet	Cultivation of plant-based fibers	Cultivation of crops nec	Cattle farming	Pigs farming	Poultry farming	Meat animals nec	Animal products nec	Raw milk	Wool, silk-worm cocoons	Manure treatment (conventional) and land application	Manure treatment (biogas) and land application	Forestry, logging and related service activities (02)	Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)	Mining of coal and lignite; extraction of peat (10)	Extraction of crude petroleum and services related to crude oil extraction, excluding surveying	Extraction of natural gas and services related to natural gas extraction, excluding surveying	Extraction, liquefaction, and regasification of other petroleum and gaseous materials	Mining of uranium and thorium ores (12)	Mining of iron ores	Mining of copper ores and concentrates	Mining of nickel ores and concentrates	Mining of aluminium ores and concentrates	Mining of precious metal ores and concentrates	Mining of lead, zinc and tin ores and concentrates	Mining of other non-ferrous metal ores and concentrates	Quarrying of stone	Quarrying of sand and clay	Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.	Processing of meat cattle	Processing of meat pigs	Processing of meat poultry	Production of meat products nec	Processing vegetable oils and fats	Processing of dairy products	Processed rice	Sugar refining	Processing of Food products nec	Manufacture of beverages	Manufacture of fish products	Manufacture of tobacco products (16)	Manufacture of textiles (17)	Manufacture of wearing apparel; dressing and dyeing of fur (18)	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)	Woodwaste	Pulp	Recycling of waste paper	Paper	Publishing, printing and reproduction of recorded media (22)	Manufacture of coke oven products	Petroleum Refinery	Processing of nuclear fuel	Plastics, basic	Recycling of plastics waste	N-fertiliser	P- and other fertiliser	Chemicals nec	Manufacture of rubber and plastic products (25)	Manufacture of glass and glass products	Recycling of glass waste	Manufacture of ceramic goods	Manufacture of bricks, tiles and construction products, in baked clay	Manufacture of cement, lime and plaster	Recycling of ash	Manufacture of other non-metallic mineral products n.e.c.	Manufacture of basic iron and steel and of ferro-alloys and first products thereof	Recycling of steel scrap	Precious metals production	Recycling of pecious metals waste	Aluminium production	Recycling of aluminium waste	Lead, zinc and tin production	Recycling of lead, zinc and tin waste	Copper production	Recycling of copper waste	Other non-ferrous metal production	Recycling of other non-ferrous metals waste	Casting of metals	Manufacture of fabricated metal products, except machinery and equipment (28)	Manufacture of machinery and equipment n.e.c. (29)	Manufacture of office machinery and computers (30)	Manufacture of electrical machinery and apparatus n.e.c. (31)	Manufacture of radio, television and communication equipment and apparatus (32)	Manufacture of medical, precision and optical instruments, watches and clocks (33)	Manufacture of motor vehicles, trailers and semi-trailers (34)	Manufacture of other transport equipment (35)	Manufacture of furniture; manufacturing n.e.c. (36)	Recycling of waste and scrap	Glass bottles directly reused	Production of electricity by coal	Production of electricity by gas	Production of electricity by nuclear	Production of electricity by hydro	Production of electricity by wind	Production of electricity by petroleum and other oil derivatives	Production of electricity by biomass and waste	Production of electricity by solar photovoltaic	Production of electricity by solar thermal	Production of electricity by tide, wave, ocean	Production of electricity by Geothermal	Production of electricity nec	Transmission of electricity	Distribution and trade of electricity	Manufacture of gas; distribution of gaseous fuels through mains	Steam and hot water supply	Collection, purification and distribution of water (41)	Construction (45)	Recycling of construction waste	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	Retail sale of automotive fuel	Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)	Hotels and restaurants (55)	Transport via railways	Other land transport	Transport via pipelines	Sea and coastal water transport	Inland water transport	Air transport (62)	Supporting and auxiliary transport activities; activities of travel agencies (63)	Post and telecommunications (64)	Financial intermediation, except insurance and pension funding (65)	Insurance and pension funding, except compulsory social security (66)	Activities auxiliary to financial intermediation (67)	Real estate activities (70)	Renting of machinery and equipment without operator and of personal and household goods (71)	Computer and related activities (72)	Research and development (73)	Other business activities (74)	Public administration and defence; compulsory social security (75)	Education (80)	Health and social work (85)	Incineration of waste: Food	Incineration of waste: Paper	Incineration of waste: Plastic	Incineration of waste: Metals and Inert materials	Incineration of waste: Textiles	Incineration of waste: Wood	Incineration of waste: Oil/Hazardous waste	Biogasification of food waste	Biogasification of paper	Biogasification of sewage slugde	Composting of food waste	Composting of paper and wood	Waste water treatment, food	Waste water treatment, other	Landfill of waste: Food	Landfill of waste: Paper	Landfill of waste: Plastic	Landfill of waste: Inert/metal/hazardous	Landfill of waste: Textiles	Landfill of waste: Wood	Activities of membership organisation n.e.c. (91)	Recreational, cultural and sporting activities (92)	Other service activities (93)	Private households with employed persons (95)	Extra-territorial organizations and bodies
Paddy rice	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wheat	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cereal grains nec	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vegetables, fruit, nuts	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oil seeds	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sugar cane, sugar beet	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plant-based fibers	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crops nec	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cattle	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigs	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
